Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
childSTT4HO5gen10,350.4465,3824.1864,24970884.26,1695.878523,3.150921763,,
childIAHU2CXgen12,353.2635,3772.8765,24680781.66,1696.303294,3.145791963,,
childVR8GWRYgen13,355.911,3840.345,24319105.45,1696.394083,3.172551671,,
childY1WAWY3gen18,353.3695,3790.7928,24999769.64,1696.639415,3.151033952,,
child1557I88gen16,354.6835,3810.4281,24758100.84,1696.644592,3.160530859,,
childCVOT1RKgen12,354.696,3810.8025,24589783.22,1696.995599,3.160688678,,
child2SJKEEWgen13,355.3065,3807.2889,24617953.46,1697.391337,3.161668267,,
childNIE6BNUgen12,354.991,3778.1667,24365480.01,1697.657832,3.152734684,,
childKMP14AKgen11,348.3935,3789.9198,24763956.04,1697.922805,3.135198753,,
childVKL5NS2gen10,350.558,3816.225,24540413.66,1698.629213,3.14922561,,
childT6TC707gen13,350.14,3781.7082,24846788.33,1698.953557,3.138498944,,
child6216XT4gen12,354.162,3832.7211,24588239.46,1699.171132,3.16509515,,
childKGA454Xgen16,352.4165,3791.2752,24882272.66,1699.270863,3.148288999,,
childTZCIOHCgen14,350.166,3787.2171,24930665.08,1699.317657,3.140102072,,
childB4RSKJLgen17,354.4965,3797.6058,24152400.61,1699.517524,3.156573673,,
child267FWP9gen12,352.6695,3812.8311,24759014.44,1699.520087,3.15498345,,
childIE0PCC5gen17,351.69,3800.2266,24913573.68,1699.60595,3.14846331,,
child68P25DJgen17,352.088,3792.1383,24619486.65,1699.933695,3.147521811,,
childJ8OH3QQgen14,354.246,3789.9387,24822965.35,1700.55718,3.153739745,,
childFN8FJQ1gen14,352.4265,3822.2757,24507753.55,1700.752616,3.156855234,,
childT4GE2RBgen16,353.129,3810.4353,24750317.13,1701.748685,3.155878023,,
childN55VPBDgen14,350.1765,3782.4453,24656167.06,1701.957517,3.138954087,,
childKZOY6Q9gen15,355.234,3791.6568,24855898.18,1702.175262,3.157392409,,
childEC8HIJNgen14,355.5125,3824.8857,24350881.72,1702.289204,3.167348717,,
child3HO5IS9gen9,349.9335,3790.5021,24957089.19,1702.318501,3.140406535,,
child56RPB6Pgen10,349.449,3796.5951,24776839.53,1702.672846,3.140562524,,
child0CBAC5Sgen12,352,3827.6685,24527463.05,1702.755255,3.157078757,,
childR4NE915gen10,347.837,3804.0705,24855344.19,1703.28179,3.137560332,,
child4YBSZ89gen14,353.856,3811.5846,24815682.47,1703.584407,3.158564225,,
child2JEEUK3gen13,352.7725,3802.5216,24911768.57,1703.647886,3.152683011,,
child9P4R9UJgen11,353.812,3790.5597,24627288.38,1703.893837,3.152698225,,
childA67CZOQgen10,351.012,3782.7594,24930067.57,1703.899208,3.141758478,,
child7BWM8JLgen10,350.1095,3798.306,24974965.79,1704.278927,3.143182241,,
childYC6AQ5Kgen14,356.73,3811.6413,24590314.62,1704.899908,3.167683151,,
child69B8F7Fgen12,352.1305,3809.7558,24749473.6,1705.570748,3.152727692,,
childQT9CTGTgen10,350.6465,3794.7987,24827396.54,1705.670283,3.143978365,,
childV1GNB6Sgen11,351.165,3794.0157,24930420.94,1706.373972,3.145428465,,
childIEUW3L6gen11,351.091,3828.6423,24617984.84,1706.769437,3.154670426,,
childWQSL0YOgen17,354.4795,3806.4582,24436876.59,1707.324524,3.159299015,,
childLWIHEIRgen18,354.967,3809.8989,24542573.96,1707.399251,3.161775963,,
